"site_id","event_id","event_type","timestamp","x","y","x_relative","y_relative","scroll_depth","page_url","page_path","referrer","user_agent","user_language","viewport_width","viewport_height","screen_width","screen_height","device_type","element_id","element_classes","element_tag","element_text","element_selector","session_id","client_id","load_time","variant_id","document_width","document_height","element_href","is_interactive","is_dead_click","click_count","ip_address","user_id","created_at","confusion_scroll_score","hover_duration_ms","cursor_path_distance","cursor_direction_changes","is_erratic_movement","attention_zone","survey_id","survey_action"
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:11:05","749","3882","0.4908","0.5186","0","https://mindspex-academic.vercel.app/","/","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","relative w-32 h-32 object-cover rounded-full border-4 border-white shadow-lg group-hover:scale-105 transition-transform duration-300","IMG","","IMG.relative","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:46","816","3627","0.5347","0.4845","0","https://mindspex-academic.vercel.app/","/","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","text-blue-600 font-bold px-5 py-2 rounded-xl text-lg hover:bg-blue-500/30 mx-2 transition-all duration-300 ease-in-out focus:outline-none","A","Home","A.text-blue-600","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:47","972","49","0.637","0.0065","0","https://mindspex-academic.vercel.app/","/","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","text-gray-800 px-5 py-2 rounded-xl text-lg font-bold hover:bg-blue-500/30 mx-2 transition-all duration-300 ease-in-out focus:outline-none","A","Courses","A.text-gray-800","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:48","1117","41","0.732","0.0138","0","https://mindspex-academic.vercel.app/courses","/courses","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","text-gray-800 px-5 py-2 rounded-xl text-lg font-bold hover:bg-blue-500/30 mx-2 transition-all duration-300 ease-in-out focus:outline-none","A","Program","A.text-gray-800","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:49","1260","27","0.8257","0.0049","0","https://mindspex-academic.vercel.app/program","/program","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","text-gray-800 px-5 py-2 rounded-xl text-lg font-bold hover:bg-blue-500/30 mx-2 transition-all duration-300 ease-in-out focus:outline-none","A","About","A.text-gray-800","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:51","1082","57","0.709","0.0143","0","https://mindspex-academic.vercel.app/about","/about","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","text-gray-800 px-5 py-2 rounded-xl text-lg font-bold hover:bg-blue-500/30 mx-2 transition-all duration-300 ease-in-out focus:outline-none","A","Program","A.text-gray-800","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:51","1082","57","0.709","0.0143","0","https://mindspex-academic.vercel.app/about","/about","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","hidden md:flex gap-8 items-center","DIV","HomeCoursesProgramAboutContact","DIV.hidden","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:52","948","41","0.6212","0.0075","0","https://mindspex-academic.vercel.app/program","/program","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","text-gray-800 px-5 py-2 rounded-xl text-lg font-bold hover:bg-blue-500/30 mx-2 transition-all duration-300 ease-in-out focus:outline-none","A","Courses","A.text-gray-800","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:53","846","43","0.5544","0.0144","0","https://mindspex-academic.vercel.app/courses","/courses","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","text-gray-800 px-5 py-2 rounded-xl text-lg font-bold hover:bg-blue-500/30 mx-2 transition-all duration-300 ease-in-out focus:outline-none","A","Home","A.text-gray-800","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
"10104f75-c77f-4851-ab22-d9bf99ce2ff2","","click","2025-11-22 03:12:54","783","522","0.5131","0.0697","0","https://mindspex-academic.vercel.app/","/","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","en-US","1536","695","1536","864","desktop","","border-2 border-white text-white px-8 py-4 rounded-xl font-semibold text-lg transition-all duration-300 hover:bg-white hover:text-blue-600 hover:scale-105","A","Get Started","A.border-2","s-em86tbydc-1763779471359","v-gda0luusz-1763631096179","0","","0","0","","false","false","0","","","2025-12-09 07:03:38","0","0","0","0","false","","",""
